what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805408760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805409644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805410489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805411646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805413763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805583404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805583872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805584844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805585883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805604146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805605133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805614705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805616068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805640145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805641284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805644246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805645489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805652621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805653596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805673636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805676174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805679840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805680286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805692768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805708942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805710032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805714762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805722709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805724271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805725554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805945074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805945859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805946670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805947511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805948279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376805949005
